78 Meadow Avenue, 58160, Mississippi, Basketball
38 7th Avenue, 59367, Hawaii, Boxing
37 Oak Avenue, 11323, Michigan, Boxing
27 3rd Avenue, 41960, Indiana, Bowling
86 Sunset Avenue, 26757, South Dakota, Basketball
22 1st Avenue, 67083, Alabama, Pool
100 Oak Avenue, 83558, South Dakota, Ponds
41 Meadow Avenue, 63938, Idaho, Amusement Park
91 Birch Avenue, 48533, Wyoming, Basketball
81 4th Avenue, 90602, Idaho, Boxing
85 9th Avenue, 73433, North Carolina, Carnivals
7 South Avenue, 26371, Michigan, Cafes
61 North Avenue, 4731, Iowa, Bowling
51 Main Avenue, 4053, Illinois, Beach
7 Park Avenue, 20673, Vermont, Feeding Animals
3 7th Avenue, 23867, Maryland, Concert
68 Pine Avenue, 31798, Washington D.C., Zoos
70 4th Avenue, 86419, Georgia, Amusement Park
69 2nd Avenue, 92462, Massachusetts, Fishing
6 Elm Avenue, 26637, Vermont, Zoos
86 Main Avenue, 5066, Maine, Volleyball
31 Evergreen Avenue, 63820, Connecticut, Holiday
51 East Avenue, 32901, Michigan, Fishing
17 Apache Avenue, 60145, North Dakota, Pool
19 South Avenue, 82664, California, Hiking
35 2nd Avenue, 45272, Arkansas, Holiday
41 Willow Avenue, 80522, Maryland, Holiday
86 Pine Avenue, 62873, New Mexico, Monuments
31 Maple Avenue, 74003, Missouri, Volleyball
12 East Avenue, 83031, Washingston, Fishing
6 Hillside Avenue, 14552, Mississippi, Food
68 Ridge Avenue, 18496, New York, Art Gallery
91 Redwood Avenue, 56238, Pennyslvania, Swimming
17 Sunset Avenue, 94428, New Mexico, Park
90 4th Avenue, 52424, Massachusetts, Pool
94 Pine Avenue, 12193, Missouri, Holiday
55 Apache Avenue, 33419, Connecticut, Romantic
42 3rd Avenue, 93458, Montana, Feeding Animals
58 Evergreen Avenue, 23855, New York, Apple Picking
18 Lake Avenue, 39389, Arizona, Apple Picking
36 Apache Avenue, 48572, New Hampshire, Romantic
65 Main Avenue, 83427, Arkansas, Basketball
81 Oak Avenue, 78115, Missouri, Park
70 Maple Avenue, 60881, Maryland, Hiking
46 6th Avenue, 29256, Alaska, Amusement Park
13 Main Avenue, 47777, West Virginia, Pool
31 4th Avenue, 34345, Illinois, Amusement Park
30 Ridge Avenue, 26269, South Carolina, Apple Picking
5 10th Avenue, 42235, New Jersey, Pool
48 5th Avenue, 46834, Vermont, Park
69 2nd Avenue, 96020, New Jersey, Monuments
77 1st Avenue, 31539, Oklahoma, Art Gallery
77 Main Avenue, 21858, Kentucky, Food
51 9th Avenue, 73827, Idaho, Ponds
45 Apache Avenue, 56521, Vermont, Piers
3 South Avenue, 61677, Iowa, Holiday
75 Pine Avenue, 37379, New Hampshire, Basketball
16 Redwood Avenue, 41164, Nebraska, Carnivals
15 6th Avenue, 39957, Washingston, Amusement Park
85 Sunset Avenue, 94147, Vermont, Bowling
25 Meadow Avenue, 12461, Wyoming, Zoos
97 Redwood Avenue, 40518, Wyoming, Romantic
11 North Avenue, 40974, Idaho, Boxing
99 7th Avenue, 17957, Colorado, Romantic
84 East Avenue, 58536, New Mexico, Pool
71 Main Avenue, 81248, Maine, Basketball
88 Sunset Avenue, 35919, Kentucky, Volleyball
53 Ridge Avenue, 50565, Montana, Beach
76 Apache Avenue, 40664, New Hampshire, Monuments
67 Maple Avenue, 20025, Indiana, Shopping Mall
92 8th Avenue, 5208, Montana, Holiday
96 Main Avenue, 846, Connecticut, Bowling
67 Pine Avenue, 71033, Nebraska, Romantic
22 East Avenue, 88544, New Hampshire, Boxing
40 Meadow Avenue, 9954, Vermont, Fishing
32 8th Avenue, 53858, Texas, Feeding Animals
90 Sunset Avenue, 90846, Tennessee, Apple Picking
48 South Avenue, 50646, Michigan, Carnivals
36 6th Avenue, 40481, Illinois, Cafes
69 South Avenue, 76297, Ohio, Bowling
38 1st Avenue, 6833, Missouri, Concert
99 East Avenue, 85228, Alaska, Cafes
34 6th Avenue, 56981, New York, Shopping Mall
67 Sunset Avenue, 401, New York, Concert
6 Redwood Avenue, 75526, Arkansas, Romantic
49 8th Avenue, 73647, Arizona, Romantic
91 Redwood Avenue, 84779, Alabama, Beach
33 Pine Avenue, 1286, Missouri, Fishing
38 Willow Avenue, 14745, Nebraska, Park
18 Meadow Avenue, 5867, Minnesota, Cafes
4 1st Avenue, 11879, Texas, Feeding Animals
49 Apache Avenue, 34857, Wisconsin, Concert
35 Meadow Avenue, 89003, Montana, Swimming
81 4th Avenue, 22321, Texas, Basketball
61 Park Avenue, 75444, Wisconsin, Feeding Animals
47 North Avenue, 69167, Nebraska, Volleyball
2 4th Avenue, 39495, Maine, Amusement Park
17 9th Avenue, 160, Iowa, Romantic
80 Apache Avenue, 83062, North Carolina, Piers
51 Oak Avenue, 97240, Nevada, Haunted
39 Main Avenue, 51269, Nebraska, Beach
38 Main Avenue, 58830, New York, Holiday
46 South Avenue, 27357, Connecticut, Beach
95 Sunset Avenue, 33547, Arkansas, Carnivals
57 Maple Avenue, 34111, Rhode Island, Boxing
29 Elm Avenue, 47317, Massachusetts, Beach
41 Redwood Avenue, 15895, New York, Pool
86 5th Avenue, 29942, Virginia, Fishing
26 5th Avenue, 28524, Vermont, Haunted
6 Apache Avenue, 68710, New Jersey, Pool
67 North Avenue, 52450, Maryland, Romantic
95 Evergreen Avenue, 30539, Oregon, Holiday
51 Sunset Avenue, 37994, Utah, Holiday
62 North Avenue, 97988, Alaska, Pool
42 Jackson Avenue, 75358, Mississippi, Basketball
39 8th Avenue, 85216, Iowa, Zoos
2 5th Avenue, 9524, Iowa, Concert
25 Pine Avenue, 53038, New Hampshire, Shopping Mall
5 Redwood Avenue, 79599, New Jersey, Romantic
9 Evergreen Avenue, 38321, Nebraska, Carnivals
35 7th Avenue, 88243, Minnesota, Haunted
89 Willow Avenue, 59682, Wisconsin, Park
58 6th Avenue, 92215, Vermont, Tennis
47 9th Avenue, 89931, Nevada, Basketball
59 9th Avenue, 83471, Arkansas, Monuments
39 3rd Avenue, 24020, Michigan, Piers
12 Evergreen Avenue, 43689, New York, Tennis
94 Redwood Avenue, 7788, Florida, Romantic
4 Apache Avenue, 66724, Oklahoma, Holiday
9 Hillside Avenue, 22274, Arkansas, Volleyball
21 2nd Avenue, 98996, Wyoming, Carnivals
7 10th Avenue, 11001, Texas, Monuments
92 9th Avenue, 27675, Montana, Zoos
92 Apache Avenue, 92898, Tennessee, Muesems
35 Park Avenue, 91975, Louisiana, Romantic
31 North Avenue, 50608, Wyoming, Skiing
20 South Avenue, 91825, Oklahoma, Basketball
37 West Avenue, 94394, Virginia, Concert
17 Hillside Avenue, 31341, Montana, Food
20 Willow Avenue, 4782, Oklahoma, Holiday
42 Main Avenue, 87760, Montana, Food
55 Ridge Avenue, 10845, Missouri, Pool
76 5th Avenue, 71968, Massachusetts, Art Gallery
64 7th Avenue, 48691, Montana, Cafes
9 2nd Avenue, 33655, Massachusetts, Romantic
88 1st Avenue, 91435, Louisiana, Shopping Mall
90 Pine Avenue, 26200, Idaho, Pool
80 5th Avenue, 95883, Montana, Tennis
65 1st Avenue, 87475, New Jersey, Piers
30 Main Avenue, 19176, Oklahoma, Holiday
32 1st Avenue, 6981, Indiana, Bowling
3 Ridge Avenue, 99692, Maine, Pool
33 Pine Avenue, 48737, Connecticut, Shopping Mall
21 Hillside Avenue, 82008, New York, Skiing
51 Birch Avenue, 6198, Ohio, Basketball
93 Pine Avenue, 75093, Washington D.C., Volleyball
37 Elm Avenue, 90904, Ohio, Boxing
61 6th Avenue, 80094, North Dakota, Cafes
4 Park Avenue, 1990, North Dakota, Haunted
21 8th Avenue, 43884, North Dakota, Bowling
9 2nd Avenue, 17655, Indiana, Hiking
21 North Avenue, 54908, Alaska, Holiday
6 Willow Avenue, 18398, Oregon, Skiing
35 Oak Avenue, 55304, New Jersey, Fishing
98 West Avenue, 11792, Washington D.C., Basketball
90 10th Avenue, 27993, Massachusetts, Ponds
36 Maple Avenue, 28644, Arkansas, Haunted
24 Pine Avenue, 7299, Louisiana, Feeding Animals
36 4th Avenue, 74169, Arkansas, Fishing
85 Oak Avenue, 90574, Oregon, Basketball
65 Maple Avenue, 35951, Illinois, Art Gallery
22 Oak Avenue, 88122, Missouri, Monuments
60 7th Avenue, 18676, New Jersey, Basketball
98 Jackson Avenue, 1447, South Dakota, Food
69 Sunset Avenue, 96543, Arizona, Piers
27 1st Avenue, 52617, Arkansas, Basketball
83 4th Avenue, 29862, California, Volleyball
92 Jackson Avenue, 71639, Rhode Island, Basketball
40 Apache Avenue, 64168, Wyoming, Tennis
12 Sunset Avenue, 78618, Missouri, Muesems
6 Apache Avenue, 88625, Oklahoma, Carnivals
37 Birch Avenue, 96165, Arizona, Holiday
10 Redwood Avenue, 7560, Hawaii, Carnivals
73 8th Avenue, 69847, Louisiana, Haunted
22 Ridge Avenue, 97856, Connecticut, Holiday
62 6th Avenue, 8885, Wisconsin, Holiday
95 Jackson Avenue, 47766, Texas, Hiking
96 Birch Avenue, 57102, Idaho, Cafes
100 6th Avenue, 57749, Iowa, Boxing
23 Park Avenue, 80533, Ohio, Muesems
3 Apache Avenue, 35970, Virginia, Basketball
83 8th Avenue, 46454, Minnesota, Cafes
80 Redwood Avenue, 82245, Massachusetts, Amusement Park
46 Maple Avenue, 46393, Texas, Beach
22 7th Avenue, 82328, Arkansas, Zoos
72 Maple Avenue, 15852, Wisconsin, Carnivals
22 3rd Avenue, 36440, North Carolina, Tennis
2 North Avenue, 2266, Massachusetts, Beach
40 9th Avenue, 3098, Rhode Island, Beach
12 9th Avenue, 97767, Florida, Muesems
18 5th Avenue, 12551, Kentucky, Carnivals
10 East Avenue, 53808, Rhode Island, Romantic
74 Birch Avenue, 28607, Alaska, Basketball
74 Main Avenue, 64715, Vermont, Piers
79 Park Avenue, 31737, Connecticut, Park
4 9th Avenue, 16245, Michigan, Apple Picking
50 Elm Avenue, 72315, Washingston, Apple Picking
54 North Avenue, 7818, North Dakota, Piers
99 South Avenue, 84523, Pennyslvania, Swimming
61 Willow Avenue, 86832, New York, Pool
33 Redwood Avenue, 55594, Idaho, Carnivals
23 Redwood Avenue, 67346, Alabama, Holiday
92 8th Avenue, 60527, South Dakota, Tennis
59 Meadow Avenue, 61268, Ohio, Haunted
69 Redwood Avenue, 66587, Mississippi, Apple Picking
69 2nd Avenue, 35015, California, Feeding Animals
58 Evergreen Avenue, 82438, Oklahoma, Park
55 Apache Avenue, 77450, Nebraska, Swimming
99 8th Avenue, 99160, Hawaii, Fishing
33 4th Avenue, 5733, Maryland, Hiking
6 Hillside Avenue, 36572, Wyoming, Fishing
95 East Avenue, 66307, Georgia, Basketball
9 South Avenue, 50630, South Dakota, Boxing
63 6th Avenue, 74128, Texas, Feeding Animals
91 South Avenue, 28066, Georgia, Beach
24 West Avenue, 85308, Nevada, Bowling
38 3rd Avenue, 45249, West Virginia, Cafes
94 West Avenue, 76530, Connecticut, Pool
91 Sunset Avenue, 15649, Colorado, Skiing
52 8th Avenue, 80986, Washington D.C., Art Gallery
20 6th Avenue, 18349, Florida, Holiday
14 Main Avenue, 16940, Connecticut, Zoos
74 Evergreen Avenue, 2732, Mississippi, Zoos
77 Jackson Avenue, 57549, Nebraska, Amusement Park
48 Evergreen Avenue, 24268, Louisiana, Haunted
59 Apache Avenue, 77346, Ohio, Skiing
59 South Avenue, 79281, West Virginia, Swimming
100 Main Avenue, 93785, Illinois, Concert
6 5th Avenue, 66753, Iowa, Apple Picking
71 Birch Avenue, 77812, North Dakota, Park
52 Park Avenue, 95402, Washingston, Apple Picking
26 Meadow Avenue, 19801, Alabama, Cafes
51 Maple Avenue, 43665, Alabama, Art Gallery
27 Hillside Avenue, 47895, Florida, Ponds
78 3rd Avenue, 11463, Virginia, Feeding Animals
44 Maple Avenue, 16780, Missouri, Zoos
7 Main Avenue, 96886, Illinois, Zoos
63 Ridge Avenue, 42781, South Dakota, Volleyball
51 Redwood Avenue, 46164, Minnesota, Concert
36 5th Avenue, 21392, Missouri, Holiday
24 Hillside Avenue, 21951, Idaho, Piers
33 5th Avenue, 14153, Georgia, Basketball
76 Oak Avenue, 90735, Ohio, Beach
16 Hillside Avenue, 38518, Vermont, Apple Picking
30 Hillside Avenue, 90133, Georgia, Feeding Animals
30 Redwood Avenue, 16513, South Dakota, Shopping Mall
47 Hillside Avenue, 34368, Washington D.C., Volleyball
98 10th Avenue, 61046, Virginia, Ponds
5 Lake Avenue, 20699, Missouri, Amusement Park
62 Maple Avenue, 14117, West Virginia, Haunted
87 West Avenue, 15355, California, Basketball
7 5th Avenue, 290, Michigan, Basketball
7 East Avenue, 80631, Nevada, Concert
9 Meadow Avenue, 26076, Arizona, Tennis
53 Pine Avenue, 70322, Wisconsin, Basketball
36 7th Avenue, 1492, Arkansas, Piers
81 Jackson Avenue, 24390, Florida, Food
79 Sunset Avenue, 1317, Wisconsin, Pool
81 Sunset Avenue, 73260, Oklahoma, Ponds
60 Apache Avenue, 58976, Nevada, Muesems
24 Ridge Avenue, 49029, Arkansas, Amusement Park
57 10th Avenue, 52230, Hawaii, Bowling
85 7th Avenue, 5889, New York, Feeding Animals
18 Ridge Avenue, 18100, Montana, Fishing
79 Oak Avenue, 96147, Rhode Island, Amusement Park
55 South Avenue, 65803, Maine, Feeding Animals
13 Main Avenue, 44548, Maine, Hiking
8 Oak Avenue, 36780, Minnesota, Concert
53 Sunset Avenue, 68842, Louisiana, Skiing
81 7th Avenue, 9468, Oregon, Fishing
23 East Avenue, 56484, Oklahoma, Concert
79 Redwood Avenue, 72247, Washington D.C., Monuments
39 Sunset Avenue, 9647, Hawaii, Shopping Mall
57 Pine Avenue, 81194, Nevada, Fishing
71 6th Avenue, 69146, Maryland, Volleyball
43 Redwood Avenue, 44538, Nebraska, Carnivals
82 West Avenue, 5098, Nevada, Fishing
17 Pine Avenue, 74384, Mississippi, Carnivals
26 Sunset Avenue, 16763, Tennessee, Piers
39 3rd Avenue, 15208, Arizona, Carnivals
28 7th Avenue, 46919, Wyoming, Swimming
34 Sunset Avenue, 71052, Louisiana, Cafes
73 Redwood Avenue, 18887, Oregon, Pool
8 Pine Avenue, 82484, Massachusetts, Muesems
49 Lake Avenue, 75165, Arizona, Volleyball
63 Willow Avenue, 36012, Wisconsin, Basketball
47 Elm Avenue, 87601, Indiana, Swimming
52 9th Avenue, 82543, Pennyslvania, Shopping Mall
96 West Avenue, 88963, Oklahoma, Shopping Mall
94 8th Avenue, 41302, Michigan, Haunted
6 Jackson Avenue, 67952, Mississippi, Basketball
36 3rd Avenue, 57142, New Mexico, Monuments
80 8th Avenue, 10858, Arkansas, Pool
74 Willow Avenue, 3610, New York, Cafes
49 Apache Avenue, 9060, Kansas, Beach
16 Willow Avenue, 83499, North Dakota, Piers
80 9th Avenue, 39766, Kansas, Basketball
37 Ridge Avenue, 97889, Florida, Pool
100 Jackson Avenue, 20503, Iowa, Shopping Mall
55 Redwood Avenue, 17717, Oregon, Pool
38 Park Avenue, 48163, California, Amusement Park
29 4th Avenue, 28265, Vermont, Swimming
57 Lake Avenue, 31370, Kentucky, Fishing
14 Evergreen Avenue, 84657, Delaware, Boxing
71 Redwood Avenue, 43702, Missouri, Apple Picking
66 North Avenue, 3318, Oklahoma, Feeding Animals
21 Sunset Avenue, 54032, Illinois, Holiday
57 Maple Avenue, 9188, Missouri, Food
40 7th Avenue, 82505, North Dakota, Art Gallery
14 Jackson Avenue, 52659, Hawaii, Swimming
34 Sunset Avenue, 92498, Georgia, Piers
96 Oak Avenue, 70596, Maine, Muesems
67 4th Avenue, 46544, Pennyslvania, Romantic
42 Evergreen Avenue, 2167, Wisconsin, Romantic
98 10th Avenue, 31703, Rhode Island, Boxing
96 Sunset Avenue, 77697, Idaho, Skiing
36 Birch Avenue, 50247, Delaware, Volleyball
48 Elm Avenue, 71730, North Carolina, Holiday
13 Willow Avenue, 63888, California, Bowling
72 8th Avenue, 21873, Colorado, Fishing
38 2nd Avenue, 3622, Maryland, Beach
73 Birch Avenue, 19525, Missouri, Monuments
91 Lake Avenue, 4528, North Carolina, Basketball
27 5th Avenue, 12331, Missouri, Art Gallery
13 Evergreen Avenue, 19731, Rhode Island, Basketball
69 Pine Avenue, 21216, Oklahoma, Zoos
60 Willow Avenue, 73225, Massachusetts, Piers
37 Park Avenue, 92763, Pennyslvania, Apple Picking
96 Meadow Avenue, 62787, Alaska, Pool
32 Sunset Avenue, 85212, California, Beach
43 3rd Avenue, 26844, Wyoming, Food
88 Evergreen Avenue, 59096, New Hampshire, Volleyball
50 Meadow Avenue, 18138, Maryland, Monuments
74 Main Avenue, 53477, Mississippi, Fishing
7 Ridge Avenue, 28364, Washington D.C., Skiing
5 2nd Avenue, 82430, Rhode Island, Basketball
95 Redwood Avenue, 3636, Montana, Monuments
97 Birch Avenue, 19993, Wisconsin, Monuments
58 Sunset Avenue, 83882, Nevada, Bowling
79 10th Avenue, 48513, Oklahoma, Holiday
94 Maple Avenue, 71163, Florida, Amusement Park
98 West Avenue, 31373, New Hampshire, Hiking
47 Hillside Avenue, 17005, Texas, Basketball
24 Jackson Avenue, 17099, Georgia, Pool
7 Oak Avenue, 94391, Hawaii, Food
87 Willow Avenue, 61593, Louisiana, Muesems
67 Sunset Avenue, 48316, Virginia, Tennis
41 North Avenue, 90845, Rhode Island, Tennis
66 Willow Avenue, 49482, Washingston, Skiing
39 Evergreen Avenue, 82122, Hawaii, Feeding Animals
70 Jackson Avenue, 32450, Kentucky, Fishing
57 West Avenue, 15347, Wyoming, Shopping Mall
9 Pine Avenue, 22847, Mississippi, Haunted
3 9th Avenue, 93816, Michigan, Beach
60 3rd Avenue, 52920, Indiana, Ponds
83 2nd Avenue, 91157, Wyoming, Muesems
21 Sunset Avenue, 17567, Washingston, Zoos
26 Oak Avenue, 95664, Hawaii, Food
30 Willow Avenue, 19667, South Dakota, Fishing
92 Lake Avenue, 59027, New Jersey, Swimming
75 2nd Avenue, 77827, Michigan, Carnivals
98 East Avenue, 13384, Illinois, Romantic
7 2nd Avenue, 38554, Vermont, Pool
11 2nd Avenue, 53662, Alaska, Ponds
39 Main Avenue, 78236, New York, Tennis
66 Birch Avenue, 60786, Louisiana, Fishing
81 Birch Avenue, 34019, Pennyslvania, Romantic
49 Willow Avenue, 48290, Mississippi, Piers
99 South Avenue, 20983, Louisiana, Food
16 Sunset Avenue, 82393, Georgia, Pool
29 Redwood Avenue, 60170, Arkansas, Ponds
10 Main Avenue, 99694, New York, Pool
72 Evergreen Avenue, 28727, Wisconsin, Holiday
30 6th Avenue, 88618, Maryland, Carnivals
8 Main Avenue, 77019, Pennyslvania, Boxing
60 Main Avenue, 491, Colorado, Zoos
45 Maple Avenue, 2410, Connecticut, Monuments
16 7th Avenue, 66106, Utah, Park
53 Apache Avenue, 78810, Minnesota, Carnivals
50 9th Avenue, 74643, Minnesota, Apple Picking
87 Sunset Avenue, 81486, New Jersey, Ponds
37 5th Avenue, 27382, Oregon, Apple Picking
83 Birch Avenue, 80423, Wisconsin, Skiing
61 Meadow Avenue, 45567, Hawaii, Shopping Mall
60 Hillside Avenue, 95783, Arkansas, Cafes
48 10th Avenue, 34038, Hawaii, Cafes
15 Elm Avenue, 2145, Maine, Concert
8 Sunset Avenue, 59201, Montana, Bowling
49 Sunset Avenue, 95088, Georgia, Basketball
98 Main Avenue, 95743, North Carolina, Muesems
42 Sunset Avenue, 60428, Delaware, Beach
90 Ridge Avenue, 54676, Texas, Carnivals
93 Willow Avenue, 30611, Virginia, Zoos
27 9th Avenue, 86790, Arkansas, Beach
65 Apache Avenue, 34281, Connecticut, Holiday
29 Evergreen Avenue, 60166, West Virginia, Skiing
58 Maple Avenue, 95383, South Carolina, Tennis
54 8th Avenue, 38186, Wyoming, Apple Picking
16 Evergreen Avenue, 1199, Arkansas, Carnivals
12 1st Avenue, 93732, Ohio, Romantic
94 Park Avenue, 11619, Virginia, Feeding Animals
75 Main Avenue, 50680, Oregon, Food
16 Willow Avenue, 798, Mississippi, Swimming
18 West Avenue, 91195, Idaho, Ponds
12 Maple Avenue, 87240, Connecticut, Boxing
86 East Avenue, 3101, Louisiana, Feeding Animals
87 Jackson Avenue, 30695, Wyoming, Feeding Animals
93 1st Avenue, 60084, North Carolina, Monuments
73 Apache Avenue, 78022, Florida, Monuments
44 Pine Avenue, 55286, Missouri, Basketball
2 North Avenue, 94305, Kentucky, Piers
87 10th Avenue, 42069, Idaho, Volleyball
85 Jackson Avenue, 60745, Alaska, Skiing
44 North Avenue, 46641, Connecticut, Monuments
80 Apache Avenue, 81821, Minnesota, Muesems
6 Meadow Avenue, 96522, Montana, Apple Picking
20 Evergreen Avenue, 19799, New Mexico, Volleyball
49 Maple Avenue, 38368, New Mexico, Skiing
60 South Avenue, 38891, Nevada, Basketball
58 4th Avenue, 33608, Minnesota, Feeding Animals
62 Pine Avenue, 56826, Arizona, Romantic
